,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
27,28.0,2022-10-11 18:04:37,False,True,True,True,0,True,10368.56131,False,105.77648213145,0.260210426343759,106.28649456708376,105.26646969581624,0.1356020338830517,0.1440890816326529,0.0016174275550494,True,189.079806716744,130.7059292342793,247.4536841992087,pass_all,58.37387748246471,114.41279986563082,True
28,29.0,2022-10-11 18:17:11,False,True,True,True,0,True,10324.82733,False,119.42515652321252,0.3096325948720498,120.03203640916172,118.81827663726332,0.1853250070478565,0.1626813520408163,0.0016174275550494,True,169.92209398945,94.1891100663364,245.6550779125636,pass_all,75.73298392311361,148.43664848930266,True
29,30.0,2022-10-11 18:29:30,False,True,True,True,1,True,10305.85297,False,40.5258980117625,0.1052928603066783,40.73227201796359,40.31952400556141,0.0633099590526971,0.0552045153061224,0.0016174275550494,True,69.5438279142901,56.941054492572704,82.1466013360075,pass_all,12.602773421717401,24.701435906566108,False
30,31.0,2022-10-11 18:41:30,False,True,True,True,0,True,10263.56131,False,75.41825354595001,0.186171102881024,75.78314890759681,75.0533581843032,0.0980812032995012,0.1027349999999999,0.0016174275550494,True,98.6823867279235,72.99908273075721,124.3656907250898,pass_all,25.683303997166306,50.33927583444596,True
32,33.0,2022-10-11 19:05:39,False,True,True,True,0,True,10322.31131,False,169.161222869775,6.379691464094226,181.6654181393997,156.65702760015031,6.802250621489869,0.2304319897959183,0.0016174275550494,True,175.090687217357,74.42522952558,275.756144909134,pass_all,100.665457691777,197.30429707588291,True
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,10361.07733,False,20.97106609248,0.0819536745762534,21.131695294649457,20.810436890310545,0.0676017318803323,0.0399220832453101,0.0016174275550494,True,41.5236604302098,34.48881904809427,48.55850181232533,pass_all,7.0348413821155305,13.78828910894644,False
36,37.0,2022-10-11 19:54:25,False,True,True,True,1,True,10369.60297,False,42.14701483357499,3.2091190817871453,48.4368882338778,35.85714143327219,3.425871621923143,0.0574128061224489,0.0016174275550494,True,50.7384903991008,30.729161084441696,70.7478197137599,pass_all,20.009329314659098,39.218285456731834,True
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,10314.40411,False,16.499559029759997,0.0780591652192936,16.652554993589813,16.34656306593018,0.0665985586651181,0.0398476726901799,0.0016174275550494,True,29.4820162102753,21.91856363275222,37.045468787798384,pass_all,7.563452577523083,14.824367051945243,True
38,39.0,2022-10-11 20:17:29,False,True,True,True,1,True,10273.00041,False,174.74661781256253,0.5155533404274194,175.75710235980029,173.73613326532478,0.3775853173316026,0.2380404336734693,0.0016174275550494,True,203.042128847191,117.6069779940567,288.4772797003253,pass_all,85.4351508531343,167.45289567214323,True
39,40.0,2022-10-11 20:29:33,False,True,True,True,1,True,10412.51964,False,139.36750587067502,0.3730443203061568,140.09867273847507,138.63633900287496,0.2378645984303693,0.189846887755102,0.0016174275550494,True,191.539694091702,135.21055516440327,247.8688330190007,pass_all,56.329138927298715,110.40511229750548,True
40,41.0,2022-10-11 20:41:39,False,True,True,True,1,True,10398.56131,False,29.358276762082497,0.0930681551356639,29.5406903461484,29.175863178016595,0.0731011234396268,0.0400267079446078,0.0016174275550494,True,47.368655369211,27.7046555751929,67.0326551632291,pass_all,19.663999794018096,38.54143959627547,True
41,42.0,2022-10-11 20:53:40,False,True,True,True,1,True,10369.39464,False,35.006212936755,4.837072714019408,44.48687545623304,25.52555041727696,5.165203588421405,0.0486350057248344,0.0016174275550494,True,53.50172995845,38.7268711840979,68.2765887328021,pass_all,14.774858774352097,28.95872319773011,True
43,44.0,2022-10-11 21:16:39,False,True,True,True,0,True,10325.33214,False,88.1224047698625,0.2188667689004479,88.55138363690737,87.69342590281762,0.1174667716449124,0.120040637755102,0.0016174275550494,True,95.7119808178359,38.5320982789496,152.89186335672218,pass_all,57.17988253888629,112.07256977621712,True
47,48.0,2022-10-12 17:53:21,False,True,True,True,0,True,10277.63328,False,46.29602330359874,9.001010722692973,63.93800432007696,28.65404228712051,9.612191920953904,0.0643140153703724,0.0016174275550494,True,80.6105385363987,64.496727823892,96.7243492489054,pass_all,16.11381071250669,31.583068996513113,False
48,49.0,2022-10-12 18:05:46,False,True,True,True,0,True,10145.64464,False,48.5380523071125,0.1223390946595777,48.77783693264527,48.29826768157973,0.0684192390427313,0.0661186989795917,0.0016174275550494,True,63.0694785698506,44.6800641389241,81.4588930007771,pass_all,18.389414430926493,36.043252284615924,True
49,50.0,2022-10-12 18:18:02,False,True,True,True,0,True,10149.60297,False,103.11072826425,6.174506838957487,115.21276166860667,91.00869485989332,6.569504449850855,0.1400491071428571,0.001958542102347,True,234.558467895901,193.4909338896647,275.6260019021373,pass_all,41.067534006236315,80.49236665222317,False
50,51.0,2022-10-12 18:29:53,False,True,True,True,1,True,10182.72797,False,62.88612020526,0.1814698306641015,63.24180107336164,62.53043933715836,0.1026697532737276,0.0854144387755101,0.001958542102347,True,88.4661558680701,52.3212423502649,124.61106938587533,pass_all,36.14491351780522,70.84403049489823,True
52,53.0,2022-10-12 18:54:32,False,True,True,True,0,True,10270.22797,False,83.67887982015002,0.2287214767132031,84.12717391450789,83.23058572579214,0.1089328357836346,0.1136559948979591,0.001958542102347,True,64.6551968240023,30.4632998743035,98.8470937737011,pass_all,34.1918969496988,67.01611802140965,True
54,55.0,2022-10-12 19:18:47,False,True,True,True,1,True,10177.31131,False,11.499009161658,0.0776708702305183,11.651244067309817,11.346774256006183,0.0678946265116212,0.0397349950749009,0.001958542102347,True,14.7829778239026,9.5516837997394,20.0142718480658,pass_all,5.2312940241631996,10.25333628735987,True
56,57.0,2022-10-12 19:41:45,False,True,True,True,1,True,10187.62381,False,22.365394373448,3.407231942886671,29.04356898150588,15.687219765390129,3.627665489844324,0.039938119644047,0.001958542102347,True,44.3601396172303,33.4631001307346,55.257179103726,pass_all,10.8970394864957,21.358197393531572,False
57,58.0,2022-10-12 19:53:45,False,True,True,True,1,True,10248.45714,False,23.318618185473,0.0868669942853926,23.48887749427237,23.14835887667363,0.0654082803341534,0.0399541461861236,0.001958542102347,True,11.09671556,4.536293616,17.657137503999998,pass_all,6.560421943999998,12.858427010239996,True
