,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
133,134.0,2022-11-04 19:28:08,False,True,True,True,0,True,6667.51964,False,50.69217162307499,0.1622210521942985,51.01012488537582,50.374218360774165,0.0407478180761386,0.0680370153061224,0.0026930537344558,True,72.0,58.0,87.0,pass_all,15.0,29.4,True
134,135.0,2022-11-04 19:31:29,False,True,True,True,0,True,6650.227972999999,False,50.93467970325,0.1636451436812441,51.255424184865234,50.61393522163476,0.0437113800487088,0.0683624999999999,0.0026930537344558,True,62.0,50.0,74.0,pass_all,12.0,23.52,True
135,136.0,2022-11-04 19:35:16,False,True,True,True,0,True,6573.14464,False,50.766070158675,0.160689412089305,51.081021406370034,50.451118910979964,0.0321339927728492,0.0681361989795918,0.0026930537344558,True,74.0,59.0,89.0,pass_all,15.0,29.4,True
136,137.0,2022-11-04 19:38:33,False,True,True,True,0,True,6587.3996910000005,False,50.716348304475,0.1633067402310716,51.036429515327896,50.3962670936221,0.045005450517367,0.0680694642857142,0.0026930537344558,True,61.0,49.0,73.0,pass_all,12.0,23.52,True
137,138.0,2022-11-04 19:42:04,False,True,True,True,0,True,6538.873807,False,50.59934228977501,0.1598386472846058,50.912626038452835,50.286058541097184,0.0301889035624862,0.0679124234693877,0.0026930537344558,True,26.0,21.0,31.0,pass_all,5.0,9.8,False
139,140.0,2022-11-04 19:49:07,False,True,True,True,0,True,6570.471029,False,91.001199851025,0.2873253503288697,91.5643575376696,90.43804216438042,0.053472645311506,0.1221381887755101,0.0026930537344558,True,111.0,89.0,133.0,pass_all,22.0,43.12,True
140,141.0,2022-11-04 19:52:28,False,True,True,True,0,True,6576.785513000001,False,91.14460634565002,0.2866243517721944,91.70639007512352,90.58282261617651,0.0462010169379601,0.122330663265306,0.0026930537344558,True,80.0,64.0,97.0,pass_all,17.0,33.32,True
143,144.0,2022-11-04 20:03:35,False,True,True,True,0,True,6580.038579,False,78.69583922317501,0.246383798436594,79.17875146811073,78.2129269782393,0.0315243828149634,0.1056224234693877,0.0026930537344558,True,87.0,70.0,105.0,pass_all,18.0,35.28,True
144,145.0,2022-11-04 20:06:48,False,True,True,True,0,True,6532.727972999999,False,78.738490538475,0.2467417153913207,79.22210430064199,78.25487677630802,0.0334277120396138,0.1056796683673469,0.0026930537344558,True,74.0,59.0,89.0,pass_all,15.0,29.4,True
145,146.0,2022-11-04 20:10:37,False,True,True,True,0,True,6589.811307,False,119.37766731667502,0.3736769413887711,120.110074121797,118.64526051155302,0.0471674363395708,0.1602239540816326,0.0026930537344558,True,125.0,100.0,150.0,pass_all,25.0,49.0,True
166,167.0,2022-11-07 20:22:43,False,True,True,True,0,True,6738.040472999999,False,16.0237969496925,0.0508303328005083,16.123424401981495,15.924169497403504,0.0107369873627159,0.0215065025510203,0.0026930537344558,True,14.0,12.0,17.0,pass_all,3.0,5.88,True
