,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
88,CarbonMapper,2,89.0,2022-10-29,19:01:03,True,False,,,,1-sigma,1.414915162,CM-1
89,CarbonMapper,2,90.0,2022-10-29,19:13:05,True,False,,,,1-sigma,2.0088561,CM-1
90,CarbonMapper,2,91.0,2022-10-29,19:25:00,True,True,340.3497274,480.5531239,200.1463309,1-sigma,1.08567156,nan
91,CarbonMapper,2,92.0,2022-10-29,19:37:01,True,False,,,,1-sigma,1.334609374,CM-1
92,CarbonMapper,2,93.0,2022-10-29,19:48:54,True,True,775.1204163,932.2036327999999,618.0371998,1-sigma,2.750772533,nan
93,CarbonMapper,2,94.0,2022-10-29,20:00:43,True,False,,,,1-sigma,1.20301672,CM-1
94,CarbonMapper,2,95.0,2022-10-29,20:12:39,True,True,228.9771817,327.29871617,130.65564723,1-sigma,1.763555622,nan
95,CarbonMapper,2,96.0,2022-10-29,20:24:28,True,True,304.1290891,407.2500725,201.0081057,1-sigma,3.849993283,nan
96,CarbonMapper,2,97.0,2022-10-29,20:36:25,True,False,,,,1-sigma,2.147887233,CM-1
97,CarbonMapper,2,98.0,2022-10-29,20:48:16,True,False,,,,1-sigma,1.682205328,CM-1
98,CarbonMapper,2,99.0,2022-10-29,20:59:05,True,False,,,,1-sigma,1.490203747,CM-1
99,CarbonMapper,2,100.0,2022-10-29,21:11:45,True,True,758.6728398,998.2612385,519.0844411,1-sigma,2.58863745,nan
100,CarbonMapper,2,101.0,2022-10-31,17:16:44,True,True,223.4450654,276.81093433,170.07919647,1-sigma,2.8286456,nan
101,CarbonMapper,2,102.0,2022-10-31,17:28:17,True,True,846.2361893,1118.8581039,573.6142746999999,1-sigma,2.46055845,nan
102,CarbonMapper,2,103.0,2022-10-31,17:40:30,True,True,587.5672112,759.5022185,415.6322039,1-sigma,2.76711635,nan
103,CarbonMapper,2,104.0,2022-10-31,17:51:39,True,False,,,,1-sigma,1.96160645,CM-1
104,CarbonMapper,2,105.0,2022-10-31,18:02:58,True,False,,,,1-sigma,1.953931017,CM-1
105,CarbonMapper,2,106.0,2022-10-31,18:14:17,True,False,,,,1-sigma,1.219359785,CM-1
106,CarbonMapper,2,107.0,2022-10-31,18:25:37,True,True,353.165368,463.5274034,242.8033326,1-sigma,0.998488093,nan
107,CarbonMapper,2,108.0,2022-10-31,18:36:58,True,False,,,,1-sigma,0.597275161,CM-1
108,CarbonMapper,2,109.0,2022-10-31,18:48:12,True,False,,,,1-sigma,1.553806812,CM-1
109,CarbonMapper,2,110.0,2022-10-31,18:59:31,False,False,,,,1-sigma,,nan
110,CarbonMapper,2,111.0,2022-10-31,19:22:05,False,False,,,,1-sigma,,nan
111,CarbonMapper,2,112.0,2022-10-31,19:33:09,True,True,398.3751601,468.60604286,328.14427734000003,1-sigma,1.163090618,nan
112,CarbonMapper,2,113.0,2022-10-31,19:44:29,True,True,658.1881302,878.5657942,437.81046620000006,1-sigma,1.875858168,nan
113,CarbonMapper,2,114.0,2022-10-31,19:55:50,True,True,616.7374407,795.1733526,438.30152879999997,1-sigma,2.246972117,nan
114,CarbonMapper,2,115.0,2022-10-31,20:07:04,False,False,,,,1-sigma,,nan
115,CarbonMapper,2,116.0,2022-10-31,20:18:24,True,False,,,,1-sigma,2.728203183,CM-1
116,CarbonMapper,2,117.0,2022-10-31,20:30:05,True,True,551.0901628,666.6202486,435.56007700000004,1-sigma,2.26863555,nan
117,CarbonMapper,2,118.0,2022-10-31,20:41:38,False,False,,,,1-sigma,,nan
118,CarbonMapper,2,119.0,2022-10-31,20:52:35,True,True,659.971602,795.6049234,524.3382806,1-sigma,2.100114967,nan
119,CarbonMapper,2,120.0,2022-10-31,21:03:41,True,True,142.0361907,180.51476893,103.55761247,1-sigma,2.82686575,nan
120,CarbonMapper,2,121.0,2022-10-31,21:14:24,True,True,463.5002236,591.9840214000001,335.01642580000004,1-sigma,1.047622812,nan
