,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
72,73.0,2022-10-28 19:31:19,False,True,True,True,True,False,True,57.40792844,1256.739659,639.4880618000001,1873.9912562,pass_all
73,74.0,2022-10-28 19:43:20,False,True,False,True,False,False,True,470.5244282,,,,fail_operator
74,75.0,2022-10-28 19:55:36,False,True,False,True,False,False,True,420.2162348,,,,fail_operator
75,76.0,2022-10-28 20:07:34,False,True,True,True,True,False,True,1410.124029,520.4576667,247.4584603,793.4568730999999,pass_all
76,77.0,2022-10-28 20:19:21,False,True,True,True,True,False,True,854.6215724,133.3627741,66.362704,200.3628442,pass_all
77,78.0,2022-10-28 20:31:19,False,True,True,True,True,False,True,373.902675,122.296791,57.72957407999999,186.86400792,pass_all
78,79.0,2022-10-28 20:43:36,False,True,True,True,True,False,True,110.1305048,358.7100637,176.21560419999997,541.2045232,pass_all
79,80.0,2022-10-28 20:55:30,False,True,True,True,True,False,True,108.2793015,478.3667514,330.87428620000003,625.8592166,pass_all
80,81.0,2022-10-28 21:06:57,False,True,False,True,False,False,True,596.639947,,,,fail_operator
81,82.0,2022-10-29 17:13:27,False,True,False,True,False,False,True,675.3234204,,,,fail_operator
82,83.0,2022-10-29 17:25:08,False,True,True,False,False,False,True,487.1670124,338.9438044,240.97667135,436.91093745,fail_stanford
83,84.0,2022-10-29 17:37:18,False,True,True,False,False,False,True,408.1972335,35.12918503,24.52062928,45.73774078,fail_stanford
84,85.0,2022-10-29 17:49:21,False,True,True,True,True,False,True,367.3340375,34.93712619,16.68568479,53.188567590000005,pass_all
85,86.0,2022-10-29 18:01:44,False,True,True,True,True,False,True,34.2858032,242.7765881,117.1754803,368.3776959,pass_all
86,87.0,2022-10-29 18:13:22,False,True,True,True,True,False,True,33.52460788,363.6452807,215.1831596,512.1074017999999,pass_all
87,88.0,2022-10-29 18:25:06,False,True,True,True,True,False,True,331.1296627,377.9904306,186.41167830000003,569.5691829,pass_all
88,89.0,2022-10-29 18:36:51,False,True,False,True,False,False,True,356.9819684,,,,fail_operator
89,90.0,2022-10-29 18:49:00,False,True,False,True,False,False,True,822.88973,,,,fail_operator
90,91.0,2022-10-29 19:00:56,False,True,True,True,True,False,True,823.8695371,574.906401,345.4223011,804.3905009,pass_all
91,92.0,2022-10-29 19:13:02,False,True,False,True,False,False,True,1064.977888,,,,fail_operator
92,93.0,2022-10-29 19:24:56,False,True,True,True,True,False,True,427.2382634,516.7550073,357.8927642,675.6172504,pass_all
93,94.0,2022-10-29 19:36:58,False,True,False,True,False,False,True,1308.881866,,,,fail_operator
94,95.0,2022-10-29 19:48:51,False,True,True,True,True,False,True,818.5402335,253.9353137,153.2300402,354.6405872,pass_all
95,96.0,2022-10-29 20:00:36,False,True,True,True,True,False,True,589.5685609,154.4962888,97.9210244,211.0715532,pass_all
96,97.0,2022-10-29 20:12:32,False,True,False,True,False,False,True,205.4451549,,,,fail_operator
97,98.0,2022-10-29 20:24:20,False,True,False,True,False,False,True,135.2882897,,,,fail_operator
98,99.0,2022-10-29 20:36:21,False,True,False,True,False,False,True,588.2231374,,,,fail_operator
99,100.0,2022-10-29 20:48:14,False,True,True,True,True,False,True,183.611619,512.5640201,343.29359750000003,681.8344427,pass_all
100,101.0,2022-10-29 20:59:49,False,True,True,True,True,False,True,170.3192507,94.024409,40.212731940000005,147.83608606,pass_all
101,102.0,2022-10-29 21:11:38,False,True,True,True,True,False,True,422.2586919,409.3608275,161.57253280000003,657.1491222,pass_all
102,103.0,2022-10-31 17:16:49,False,True,True,True,True,False,True,109.8108522,252.7426339,107.0575007,398.4277671,pass_all
103,104.0,2022-10-31 17:28:19,False,True,False,True,False,False,True,680.0753178,,,,fail_operator
104,105.0,2022-10-31 17:40:31,False,True,False,True,False,False,True,318.2430254,,,,fail_operator
105,106.0,2022-10-31 17:51:37,False,True,False,True,False,False,True,954.6152671,,,,fail_operator
106,107.0,2022-10-31 18:02:56,False,True,True,True,True,False,True,1134.110581,457.5844042,193.101076,722.0677324000001,pass_all
107,108.0,2022-10-31 18:14:17,False,True,False,True,False,False,True,629.8153367,,,,fail_operator
108,109.0,2022-10-31 18:25:41,False,True,False,True,False,False,True,466.1652536,,,,fail_operator
109,110.0,2022-10-31 18:36:54,False,True,True,False,False,False,False,631.3803529,,,,fail_stanford
110,111.0,2022-10-31 18:48:12,False,True,True,True,True,False,False,566.3274022,,,,pass_all
111,112.0,2022-10-31 18:59:24,True,False,True,False,False,False,True,0.0,614.9587419,476.2013764999999,753.7161073,fail_stanford
112,113.0,2022-10-31 19:10:42,False,True,True,True,True,False,True,1142.587752,629.9663131,462.7291192,797.203507,pass_all
113,114.0,2022-10-31 19:22:00,True,False,True,True,True,False,True,0.0,492.7991039,372.3441803,613.2540275,pass_all
114,115.0,2022-10-31 19:33:10,False,True,True,True,True,False,False,320.6515229,,,,pass_all
115,116.0,2022-10-31 19:44:31,False,True,False,True,False,False,True,862.025166,,,,fail_operator
116,117.0,2022-10-31 19:55:48,False,True,True,True,True,False,True,389.0926667,443.5874028,354.28287167,532.89193393,pass_all
117,118.0,2022-10-31 20:07:04,True,False,True,True,True,False,False,0.0,,,,pass_all
118,119.0,2022-10-31 20:18:24,False,True,True,True,True,False,True,1088.880054,573.8567012,458.2508998,689.4625026,pass_all
119,120.0,2022-10-31 20:30:07,False,True,True,True,True,False,True,322.9986012,76.02348931,48.8288535,103.21812512,pass_all
120,121.0,2022-10-31 20:41:33,True,False,True,True,True,False,True,0.0,669.4204486,450.5203984,888.3204988,pass_all
