,overpass_id,zero_release,operator_kept,operator_detected,operator_quantified,operator_quantification,release_rate_kgh,stanford_kept_strict,qc_summary_strict,stanford_kept_lax,qc_summary_lax,percent_error
111,112.0,False,True,True,True,614.9587419,320.6515229,True,pass_all,True,pass_all,91.78413261170886
112,113.0,False,True,True,True,629.9663131,862.025166,True,pass_all,True,pass_all,26.920194682576128
113,114.0,False,True,True,True,492.7991039,389.0926667,True,pass_all,True,pass_all,26.6534031801633
114,115.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
115,116.0,False,False,True,False,,1088.880054,True,fail_operator,True,fail_operator,
116,117.0,False,True,True,True,443.5874028,322.9986012,False,fail_stanford,True,pass_all,37.33415598457397
117,118.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
118,119.0,False,True,True,True,573.8567012,477.0367654,True,pass_all,True,pass_all,20.296116111473196
119,120.0,False,True,True,True,76.02348931,43.02501393,True,pass_all,True,pass_all,76.69602486053164
120,121.0,False,True,True,True,669.4204486,533.5529097,True,pass_all,True,pass_all,25.464679590332295
