,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
29,GHGSat-AV,2,30.0,2022-10-31,18:37:45,True,True,454.0,545.0,363.0,1-sigma,0.556,GH-1,True
30,GHGSat-AV,2,31.0,2022-10-31,18:41:17,True,True,356.0,428.0,285.0,1-sigma,1.211,GH-1,True
31,GHGSat-AV,2,32.0,2022-10-31,18:44:44,True,True,602.0,723.0,482.0,1-sigma,1.348,GH-1,True
32,GHGSat-AV,2,33.0,2022-10-31,18:48:26,True,True,670.0,805.0,536.0,1-sigma,1.304,GH-1,True
33,GHGSat-AV,2,34.0,2022-10-31,18:51:48,True,False,,,,1-sigma,0.961,GH-4,False
34,GHGSat-AV,2,35.0,2022-10-31,18:55:27,True,True,23.0,28.0,19.0,1-sigma,1.122,GH-1,True
35,GHGSat-AV,2,36.0,2022-10-31,18:58:55,False,True,,,,1-sigma,,GH-1,True
36,GHGSat-AV,2,37.0,2022-10-31,19:02:20,True,True,374.0,449.0,299.0,1-sigma,1.424,GH-1,True
37,GHGSat-AV,2,38.0,2022-10-31,19:05:48,True,False,,,,1-sigma,1.608,GH-4,False
38,GHGSat-AV,2,39.0,2022-10-31,19:09:22,True,True,785.0,942.0,628.0,1-sigma,0.935,GH-1,True
39,GHGSat-AV,2,40.0,2022-10-31,19:12:50,True,True,1014.0,1217.0,811.0,1-sigma,1.148,GH-1,True
40,GHGSat-AV,2,41.0,2022-10-31,19:16:40,True,True,108.0,129.0,86.0,1-sigma,2.453,GH-1,True
41,GHGSat-AV,2,42.0,2022-10-31,19:19:54,False,True,,,,1-sigma,,GH-1,True
42,GHGSat-AV,2,43.0,2022-10-31,19:23:27,False,True,,,,1-sigma,,GH-1,True
43,GHGSat-AV,2,44.0,2022-10-31,19:26:48,True,True,6.0,8.0,5.0,1-sigma,2.113,GH-1,True
44,GHGSat-AV,2,45.0,2022-10-31,19:30:23,True,True,350.0,420.0,280.0,1-sigma,2.477,GH-1,True
45,GHGSat-AV,2,46.0,2022-10-31,19:33:45,True,True,359.0,431.0,288.0,1-sigma,1.871,GH-1,True
46,GHGSat-AV,2,47.0,2022-10-31,19:37:11,True,True,93.0,111.0,74.0,1-sigma,0.768,GH-1,True
47,GHGSat-AV,2,48.0,2022-10-31,19:40:37,True,True,798.0,958.0,639.0,1-sigma,2.628,GH-1,True
48,GHGSat-AV,2,49.0,2022-10-31,19:44:25,True,True,678.0,814.0,542.0,1-sigma,2.075,GH-1,True
49,GHGSat-AV,2,50.0,2022-10-31,19:47:31,True,True,195.0,234.0,156.0,1-sigma,1.514,GH-1,True
50,GHGSat-AV,2,51.0,2022-10-31,19:51:03,True,True,17.0,20.0,14.0,1-sigma,2.278,GH-1,True
51,GHGSat-AV,2,52.0,2022-10-31,19:54:08,True,True,550.0,660.0,440.0,1-sigma,2.897,GH-1,True
52,GHGSat-AV,2,53.0,2022-10-31,19:57:39,True,True,153.0,183.0,122.0,1-sigma,2.095,GH-1,True
53,GHGSat-AV,2,54.0,2022-10-31,20:00:53,True,True,82.0,98.0,66.0,1-sigma,1.622,GH-1,True
54,GHGSat-AV,2,55.0,2022-10-31,20:04:20,False,True,,,,1-sigma,,GH-1,True
55,GHGSat-AV,2,56.0,2022-10-31,20:11:34,True,True,235.0,282.0,188.0,1-sigma,1.31,GH-1,True
56,GHGSat-AV,2,57.0,2022-10-31,20:14:59,True,True,1163.0,1395.0,930.0,1-sigma,2.093,GH-1,True
57,GHGSat-AV,2,58.0,2022-10-31,20:18:38,True,True,1199.0,1439.0,960.0,1-sigma,2.749,GH-1,True
58,GHGSat-AV,2,59.0,2022-10-31,20:21:56,True,True,3.0,4.0,3.0,1-sigma,0.974,GH-1,True
59,GHGSat-AV,2,60.0,2022-10-31,20:32:21,True,True,7.0,9.0,6.0,1-sigma,0.886,GH-1,True
60,GHGSat-AV,2,61.0,2022-10-31,20:35:49,True,True,13.0,16.0,11.0,1-sigma,1.223,GH-1,True
61,GHGSat-AV,2,62.0,2022-10-31,20:38:43,False,True,,,,1-sigma,,GH-1,True
62,GHGSat-AV,2,63.0,2022-10-31,20:42:20,False,True,,,,1-sigma,,GH-1,True
63,GHGSat-AV,2,64.0,2022-10-31,20:45:36,True,True,187.0,224.0,149.0,1-sigma,2.116,GH-1,True
64,GHGSat-AV,2,65.0,2022-10-31,20:49:09,True,True,413.0,495.0,330.0,1-sigma,1.836,GH-1,True
65,GHGSat-AV,2,66.0,2022-10-31,20:52:23,True,True,708.0,849.0,566.0,1-sigma,2.122,GH-1,True
66,GHGSat-AV,2,67.0,2022-10-31,20:55:50,True,True,58.0,70.0,47.0,1-sigma,1.624,GH-1,True
67,GHGSat-AV,2,68.0,2022-10-31,20:59:03,True,True,73.0,88.0,58.0,1-sigma,1.045,GH-1,True
68,GHGSat-AV,2,69.0,2022-11-02,16:38:14,False,True,,,,1-sigma,,GH-1,True
