,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
255,256.0,2022-10-27 19:16:40,False,True,True,True,0,True,1355.1963468439722,False,False,2.1856192294014005,0.0253985876756079,0.0,,,pass_all
256,257.0,2022-10-27 19:19:47,False,True,True,True,1,True,1388.9550969400002,False,True,10.485902032511998,0.0211361519605842,6.99696,,,pass_all
257,258.0,2022-10-27 19:23:16,False,True,True,True,1,True,1347.9517055360282,False,True,10.470828753264,0.0252997969434004,8.0784,,,pass_all
258,259.0,2022-10-27 19:26:22,False,True,True,True,1,True,1386.715376723972,False,True,10.452681617976,0.0250586842555977,8.184,,,pass_all
260,261.0,2022-10-27 19:32:37,False,True,True,True,1,True,1397.253434803972,False,False,10.445401133021996,0.0267925401076025,0.0,,,pass_all
261,262.0,2022-10-27 19:35:58,False,True,True,True,0,True,1356.411898063972,False,False,0.926850134787,0.0251392167308697,0.0,,,pass_all
262,263.0,2022-10-27 19:39:05,False,True,True,True,0,True,1358.8238623799998,False,False,0.9179353830384002,0.0278840780623705,0.0,,,pass_all
263,264.0,2022-10-27 19:42:36,False,True,True,True,0,True,1344.93606666,False,False,0.9193732645860002,0.0250250384447386,0.0,,,pass_all
264,265.0,2022-10-27 19:45:42,False,True,True,True,0,True,1373.044116443972,False,False,0.9165965479632,0.0248446590495408,0.0,,,pass_all
270,271.0,2022-10-27 20:04:44,False,True,True,True,0,True,1384.556037416028,False,False,0.6390387322032001,0.0238821271362807,0.0,,,pass_all
275,276.0,2022-10-28 16:44:23,False,True,True,True,0,True,1370.12635618,False,True,6.183008904047999,0.0799244323952588,17.6088,,,pass_all
277,278.0,2022-10-28 16:50:54,False,True,True,True,1,True,1362.99545044,False,False,2.9864927524512,0.0263377952568089,0.0,,,pass_all
278,279.0,2022-10-28 16:54:17,False,True,True,True,1,True,1356.37143448,False,False,2.9590473503142,0.0251781321500035,0.0,,,pass_all
279,280.0,2022-10-28 16:57:26,False,True,True,True,1,True,1372.327252903972,False,False,2.956920353241,0.0259421020036665,0.0,,,pass_all
281,282.0,2022-10-28 17:03:52,False,True,True,True,0,True,1365.946019103972,False,True,19.111575404766,0.0251942295214782,35.05528,,,pass_all
284,285.0,2022-10-28 17:13:39,False,True,True,True,0,True,1380.913211183972,False,False,1.4043898355274,0.0243672238071642,0.0,,,pass_all
285,286.0,2022-10-28 17:16:45,False,True,True,True,0,True,1364.1836614360282,False,False,1.3918777493334,0.0238095997974596,0.0,,,pass_all
286,287.0,2022-10-28 17:20:05,False,True,True,True,0,True,1393.1808188599998,False,False,1.3818957186726002,0.0268150174173524,0.0,,,pass_all
287,288.0,2022-10-28 17:23:07,False,True,True,True,0,True,1398.15293188,False,False,1.3706820565176,0.0208737327681118,0.0,,,pass_all
291,292.0,2022-10-28 17:35:58,False,True,True,True,1,True,1374.361373703972,False,True,9.760164252504005,0.0266894690726466,10.6272,,,pass_all
292,293.0,2022-10-28 17:39:22,False,True,True,True,1,True,1432.289525163972,False,True,9.762910808009998,0.0253792089366175,26.87592,,,pass_all
293,294.0,2022-10-28 17:42:30,False,True,True,True,1,True,1378.390245223972,False,True,17.842286734446,0.0246018328865618,12.7616,,,pass_all
294,295.0,2022-10-28 17:45:59,False,True,True,True,1,True,1381.271916576028,False,True,17.835688091658003,0.0245183442892731,22.76544,,,pass_all
301,302.0,2022-10-28 18:08:17,False,True,True,True,0,True,1364.600874703972,False,False,9.207922340501998,0.080118660480796,0.0,,,pass_all
309,310.0,2022-10-28 18:33:58,False,True,True,True,1,True,1373.443832336028,False,True,9.891365539212,0.1133358521990278,15.834,,,pass_all
316,317.0,2022-10-28 18:56:18,False,True,True,True,0,True,1357.40161824,False,True,17.774417447760005,0.0408999843921889,13.21736,,,pass_all
320,321.0,2022-10-28 19:09:20,False,True,True,True,0,True,1339.8786518,False,True,13.416981226590002,0.0250553536596599,4.68336,,,pass_all
324,325.0,2022-10-28 19:22:18,False,True,True,True,1,True,1371.6043746000005,False,True,7.668354182862,0.0268174878296975,8.5344,,,pass_all
325,326.0,2022-10-28 19:25:27,False,True,True,True,1,True,1382.330534063972,False,True,7.642140988017001,0.0196111435637804,6.88896,,,pass_all
343,344.0,2022-10-28 20:23:51,False,True,True,True,0,True,1409.9655963000002,False,True,9.504705800555998,0.0886739985929823,7.6356,,,pass_all
