,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,QC_lax,UnblindingStage,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
134,MAXAR,WorldView 3,2,22OCT17182742,1,10/17/22 0:00,18:27:42,18:27:30 AM,18:28:11 AM,,Methane,0,166.2829,0,+/- 1 sigma,4.72,6.14,3.3,+/- 1 sigma,54,0,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,10/17/22 18:27,10/17/22 18:27,10/17/22 18:22,44.636064,4.155707429,0.056933755,0.9390905,0.001958542,41.91730366,3.903930544
135,MAXAR,WorldView 3,3,22OCT22180719,1,10/22/22 0:00,18:07:19,18:07:06 AM,18:07:47 AM,,Methane,0,152.3593,0,+/- 1 sigma,2.2,2.86,1.54,+/- 1 sigma,180,0,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,10/22/22 18:07,10/22/22 18:07,10/22/22 18:02,0,0,,,,,
136,MAXAR,WorldView 3,4,22OCT29181742,1,10/29/22 0:00,18:17:42,18:17:30 AM,18:18:12 AM,,Methane,64.96,89.2339,40.6877,+/- 1 sigma,1.12,1.46,0.78,+/- 1 sigma,121,1,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,10/29/22 18:17,10/29/22 18:17,10/29/22 18:12,34.7440056,0.112604761,0.044316334,0.953323875,0.004610306,33.12229005,0.197399185
137,MAXAR,WorldView 3,5,22NOV05182744,1,11/5/22 0:00,18:27:44,18:27:32 AM,18:28:11 AM,,Methane,0,12.6912,0,+/- 1 sigma,0.46,0.59,0.32,+/- 1 sigma,259,0,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,11/5/22 18:27,11/5/22 18:27,11/5/22 18:22,0,0,,,,,
138,MAXAR,WorldView 3,6,22NOV10180843,1,11/10/22 0:00,18:08:43,18:08:30 AM,18:09:10 AM,,Methane,3293.01,4281.3062,2304.7162,+/- 1 sigma,2.68,3.48,1.88,+/- 1 sigma,7,1,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,11/10/22 18:08,11/10/22 18:08,11/10/22 18:03,1176.03468,19.07978327,1.500044235,0.953674,0.00166258,1121.553697,18.35647089
139,MAXAR,WorldView 3,7,22NOV17181847,1,11/17/22 0:00,18:18:47,18:18:35 AM,18:19:17 AM,,Methane,1218.34,1586.7136,849.9712,+/- 1 sigma,4.98,6.47,3.49,+/- 1 sigma,61,1,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,11/17/22 18:18,11/17/22 18:18,11/17/22 18:13,632.90616,2.26703141,0.807278265,0.950938875,0.001265674,601.8550718,2.424565174
140,MAXAR,WorldView 3,8,22NOV22175839,1,11/22/22 0:00,17:58:39,17:58:27 AM,17:59:06 AM,,Methane,669.2983,870.5214,468.0752,+/- 1 sigma,1.09,1.42,0.76,+/- 1 sigma,139,1,,2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,OK,OK,1,11/22/22 17:58,11/22/22 17:58,11/22/22 17:53,459.69636,1.222333851,0.586347398,0.941120625,0.000927711,432.6297256,1.345257827
141,MAXAR,WorldView 3,9, 22NOV24182859,1,11/24/22 0:00,18:28:00,18:28:59 AM,18:29:40 AM,,Methane,0,0,0,+/- 1 sigma,,,,+/- 1 sigma,,0,From Stage 2 submission (manually removed wind estimates and upper emission upper bound),2022_DataReportingTemplate_Satellites_v7_MAXAR_WorldView-3_20230125.xlsx,SE,OK,1,11/24/22 18:28,11/24/22 18:28,11/24/22 18:23,0,0,,,,,
142,MAXAR,WorldView 3,9,22NOV29180846,1,11/29/22 0:00,18:08:46,18:08:34 AM,18:09:15 AM,,Methane,1128.61,1467.4794,789.7482,+/- 1 sigma,1.54,2,1.08,+/- 1 sigma,,,,2022_DataReporting_EnMAP.xlsx,OK,OK,1,11/29/22 18:08,11/29/22 18:08,11/29/22 18:03,1393.6752,18.9045489,1.777646939,0.9422685,0.000995117,1313.21624,17.94541186
143,NJU,EnMap,3,1,1,11/12/22 0:00,18:37:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,SE,SE,1,11/12/22 18:37,11/12/22 18:37,11/12/22 18:32,0,0,,,,,
