,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
87,LARS,ZY1,2,1,1.0,2022-10-20 00:00:00,18:30:42,,,,Methane,1343.81,1778.55,909.07,434.74,2.2,3.31,1.1,1.1,239,,,2022_ZY1F.xlsx,OK,10/20/2022 18:30:42,2022-10-20 18:30:42,2022-10-20 18:25:42,0.0,0.0,,,,,
88,LARS,WorldView 3,1,1,1.0,2022-10-10 00:00:00,18:18:00,,,,Methane,,,,k=1 (68%),1.70047793828398,,,,262.85176,,possible plume but finally discarded due to inconsistency of wind and potential effect of human-made paths on the surface (see PAN image),2022_Stanfordmethanerelease_UPV_WV3.xlsx,OE,10/10/2022 18:18:00,2022-10-10 18:18:00,2022-10-10 18:13:00,99.395892,0.14301304873926377,0.12678047449666666,0.936358125,0.0016174280000000004,93.07015106583333,0.24056267945369797
89,LARS,WorldView 3,2,1,1.0,2022-10-17 00:00:00,18:30:00,,,,Methane,,,,k=1 (68%),2.45165781995778,,,,251.60205,,,2022_Stanfordmethanerelease_UPV_WV3.xlsx,OK,10/17/2022 18:30:00,2022-10-17 18:30:00,2022-10-17 18:25:00,42.868607999999995,1.9583670791055532,0.054679346938775464,0.9390905000000002,0.0019585421023471006,40.257502521024,1.8417154082744707
90,LARS,WorldView 3,8,1,1.0,2022-10-22 18:07:00,18:07:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,10/22/2022 18:07:00,2022-10-22 18:07:00,2022-10-22 18:02:00,0.0,0.0,,,,,
91,LARS,WorldView 3,3,1,1.0,2022-10-29 00:00:00,18:21:00,,,,Methane,,,,k=1 (68%),2.04396219329004,,,,240.05489,,,2022_Stanfordmethanerelease_UPV_WV3.xlsx,OK,10/29/2022 18:21:00,2022-10-29 18:21:00,2022-10-29 18:16:00,34.5439296,0.10347337504393683,0.04406113469387751,0.953323875,0.0046103061607482,32.931552823999205,0.19198460318412577
92,LARS,WorldView 3,9,1,1.0,2022-11-05 18:32:00,18:32:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to personnel shortage,,SE,11/05/2022 18:32:00,2022-11-05 18:32:00,2022-11-05 18:27:00,0.0,0.0,,,,,
93,LARS,WorldView 3,4,1,1.0,2022-11-10 00:00:00,18:08:26,,,,Methane,762,914,610,k=1 (68%),2.05818404454125,,,,165.6261,,,2022_Stanfordmethanerelease_UPV_WV3.xlsx,OK,11/10/2022 18:08:26,2022-11-10 18:08:26,2022-11-10 18:03:26,1178.5788,17.771865181425273,1.503289285714286,0.9536740000000001,0.0016625803238740997,1123.9799585112,17.12158862017056
94,LARS,WorldView 3,5,1,1.0,2022-11-17 00:00:00,18:18:46,,,,Methane,132,167,97,k=1 (68%),3.56254406209699,,,,253.39569,,,2022_Stanfordmethanerelease_UPV_WV3.xlsx,OK,11/17/2022 18:18:46,2022-11-17 18:18:46,2022-11-17 18:13:46,632.89824,2.27063963607682,0.8072681632653061,0.9509388750000002,0.0012656744167307,601.84754033508,2.42761019872841
95,LARS,WorldView 3,6,1,1.0,2022-11-22 00:00:00,17:58:38,,,,Methane,,,,k=1 (68%),1.35760604367867,,,,252.5153,,the image is cloudy but we see some enhancement (see snapshot),2022_Stanfordmethanerelease_UPV_WV3.xlsx,OE,11/22/2022 17:58:38,2022-11-22 17:58:38,2022-11-22 17:53:38,459.68556,1.217278797964235,0.5863336224489796,0.9411206250000002,0.0009277114651117998,432.61956153067496,1.3411833899460937
96,LARS,WorldView 3,10,1,1.0,2022-11-24 18:28:59,18:28:59,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,"No release, not among initially supplied dates ",,SE,11/24/2022 18:28:59,2022-11-24 18:28:59,2022-11-24 18:23:59,0.0,0.0,,,,,
97,LARS,WorldView 3,7,1,1.0,2022-11-29 00:00:00,18:14:00,,,,Methane,635,787,483,k=1 (68%),2.83223278092291,,,,45,,,2022_Stanfordmethanerelease_UPV_WV3.xlsx,OK,11/29/2022 18:14:00,2022-11-29 18:14:00,2022-11-29 18:09:00,1384.8102000000001,18.94783800587787,1.7663395408163267,0.9422685000000002,0.0009951174972501003,1304.8630299386998,17.984234646120548
98,MAXAR,EnMap,3,20221124T184824Z,1.0,2022-11-12 00:00:00,18:37:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Processed only data that LARS provided,,SE,11/12/2022 18:37:00,2022-11-12 18:37:00,2022-11-12 18:32:00,0.0,0.0,,,,,
99,MAXAR,EnMap,4,20221124T184824Z,1.0,2022-11-13 00:00:00,19:02:08,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Processed only data that LARS provided,,SE,11/13/2022 19:02:08,2022-11-13 19:02:08,2022-11-13 18:57:08,0.0,0.0,,,,,
100,MAXAR,EnMap,1,20221124T184824Z,1.0,2022-11-16 00:00:00,18:40:00,,,,Methane,1842.423828125,2398.055169430824,1286.792486819176,+/- 1 sigma,3.859445333333333,5.0172789333333325,2.7016117333333334,+/- 1 sigma,59,1.0,,2022_DataReportingTemplate_Satellites_v7_MAXAR_EnMAP_20230223.xlsx,OK,11/16/2022 18:40:00,2022-11-16 18:40:00,2022-11-16 18:35:00,1151.93976,16.32144525196149,1.4693109183673472,0.9509388750000002,0.0012656744167307,1095.42429944217,15.651516659676766
