,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
53,54.0,2022-10-31 20:00:57,False,True,True,True,1,True,6591.26964,False,76.319562699,0.3161504819750672,76.93921764367113,75.69990775432888,0.0776658186709589,0.1020094897959183,0.0036450716270969,True,74.0,49.0,99.0,pass_all
54,55.0,2022-10-31 20:04:26,True,False,True,True,1,True,6593.526583999999,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,pass_all
55,56.0,2022-10-31 20:11:39,False,True,True,False,1,False,6560.852972999999,False,233.908462845,0.9802358065890736,235.8297250259146,231.9872006640854,0.2842613264144724,0.312644387755102,0.0036450716270969,True,254.0,168.0,340.0,fail_stanford
56,57.0,2022-10-31 20:15:03,False,True,True,False,1,False,6592.102972999999,False,1072.10994219,11.178294170359605,1094.019398763905,1050.2004856160952,10.804795274415612,1.4329928571428572,0.0036450716270969,True,908.0,598.0,1218.0,fail_stanford
57,58.0,2022-10-31 20:18:40,False,True,True,True,1,True,6617.51964,False,1082.8370879775,10.428484682025728,1103.2769179542704,1062.3972580007296,9.926816297453575,1.447330867346939,0.0036450716270969,True,767.0,502.0,1032.0,pass_all
58,59.0,2022-10-31 20:22:02,False,True,True,False,0,False,6578.76964,False,1.7436659131275,0.0159837695830999,1.7749941015103758,1.7123377247446243,0.0140755240155336,0.0058062508980995,0.0036450716270969,True,4.0,2.0,6.0,fail_stanford
59,60.0,2022-10-31 20:32:24,False,True,True,False,0,False,6588.14464,False,10.095901783425,0.0816127551014865,10.255862783423915,9.935940783426087,0.0741549177952504,0.0134942831632652,0.0036450716270969,True,10.0,6.0,14.0,fail_stanford
60,61.0,2022-10-31 20:35:52,False,True,True,True,1,True,6592.51964,False,10.02944329335,0.041675860987644,10.111127980885783,9.947758605814219,0.0107697950502193,0.0134054540816326,0.0036450716270969,True,16.0,10.0,22.0,pass_all
61,62.0,2022-10-31 20:38:50,True,False,True,False,0,False,6646.964083999999,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,fail_stanford
62,63.0,2022-10-31 20:42:26,True,False,True,True,0,True,6614.282461000001,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,pass_all
63,64.0,2022-10-31 20:45:38,False,True,True,False,1,False,6638.112589,False,131.39611307549998,0.5352571654267047,132.44521711973633,130.34700903126364,0.0845946121616492,0.1756253571428571,0.0036450716270969,True,153.0,100.0,206.0,fail_stanford
64,65.0,2022-10-31 20:49:09,False,True,True,False,0,False,6615.01964,False,460.7622599175001,2.546695841594771,465.7537837670259,455.7707360679743,1.8279175036089683,0.6158594387755102,0.0036450716270969,True,379.0,247.0,511.0,fail_stanford
65,66.0,2022-10-31 20:52:28,False,True,True,True,1,True,6623.040472999999,False,473.64113316000015,2.319531911472566,478.1874157064864,469.0948506135139,1.3831521259029371,0.633073469387755,0.0036450716270969,True,583.0,379.0,787.0,pass_all
66,67.0,2022-10-31 20:55:55,False,True,True,False,0,False,6610.436307,False,43.6720513215,0.1916424560241672,44.04767053530737,43.29643210769263,0.0797868244507327,0.0583724999999999,0.0036450716270969,True,58.0,37.0,79.0,fail_stanford
67,68.0,2022-10-31 20:59:02,False,True,True,False,0,False,6566.686307,False,43.42487177325,0.1820829211046599,43.781754298615134,43.06798924788486,0.0531620063132881,0.0580421173469387,0.0036450716270969,True,98.0,63.0,133.0,fail_stanford
68,69.0,2022-11-02 16:38:25,True,False,True,False,0,False,6457.727972999999,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,fail_stanford
69,70.0,2022-11-02 16:41:15,False,True,True,False,0,False,6440.505751000001,False,1.0852992109125,0.0140132043676286,1.112765091473052,1.0578333303519478,0.0131680795866367,0.0057928257322763,0.0026930537344558,False,,,,fail_stanford
70,71.0,2022-11-02 16:45:28,False,True,True,True,1,True,6579.811307,False,1.06268774155125,0.0115225927161794,1.0852720232749615,1.0401034598275383,0.0101694187924517,0.0057922257954605,0.0026930537344558,False,,,,pass_all
71,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,1.049607814791,0.0155002207000547,1.0799882473631073,1.0192273822188926,0.0149224717759855,0.0057918711180923,0.0026930537344558,False,,,,pass_all
72,73.0,2022-11-02 16:52:32,False,True,True,True,1,True,6592.102972999999,False,4.0279092478575,0.016037902210322,4.059343536189731,3.996474959525269,0.0103222660105821,0.0058303619953562,0.0026930537344558,False,,,,pass_all
73,74.0,2022-11-02 16:55:42,False,True,True,True,1,True,6533.561307,False,4.0254117510525,0.01545144281471,4.055696578969332,3.9951269231356688,0.0092887358794019,0.0058303442013139,0.0026930537344558,False,,,,pass_all
74,75.0,2022-11-02 16:59:33,False,True,True,True,1,True,6575.852972999999,False,3.9825893743275,0.0149562739065974,4.011903671184431,3.953275077470569,0.0085241792089585,0.005830037119215,0.0026930537344558,False,,,,pass_all
