,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,kgh_ch4_30,kgh_ch4_60,kgh_ch4_90,methane_fraction,meter,qc_discard,qc_discard_strict,altitude_meters
87,2022-11-02 17:13:43,79.0,1,22.21988516,22.21678033,22.21578989,21.77400613,21.7709636,21.76999304,0.979933333,bc,0.0,0.0,7974.791667
88,2022-11-02 17:17:02,80.0,1,22.19819226,22.20527213,22.20818637,21.75274853,21.75968634,21.7625421,0.979933333,bc,0.0,0.0,7968.541667
89,2022-11-02 17:21:04,81.0,0,30.61387742,30.61460656,30.61432088,29.99955895,30.00027345,29.99999351,0.979933333,bc,1.0,1.0,7975.0
90,2022-11-02 17:24:10,82.0,0,30.56922581,30.57124131,30.57131473,29.95580334,29.9577784,29.95785034,0.979933333,bc,0.0,1.0,7958.284722
91,2022-11-02 17:28:31,83.0,0,26.52905032,26.52815803,26.52692835,25.99670071,25.99582633,25.99462132,0.979933333,bc,0.0,0.0,7955.0
92,2022-11-02 17:37:34,84.0,0,26.58309677,26.57849902,26.58227736,26.04966263,26.04515714,26.04885966,0.979933333,bc,0.0,0.0,7994.166667
93,2022-11-02 17:41:49,85.0,0,33.79009935,33.79316459,33.78925187,33.11204469,33.11504842,33.11121421,0.979933333,bc,0.0,0.0,7972.5
94,2022-11-02 17:45:12,86.0,0,33.70577806,33.70656393,33.72091912,33.02941545,33.03018555,33.04425268,0.979933333,bc,0.0,0.0,8024.166667
95,2022-11-02 17:49:36,87.0,0,848.8149677,850.3837377,849.7163077,831.7820807,833.3193707,832.6653338,0.979933333,pc,0.0,0.0,7956.666667
96,2022-11-02 17:52:40,88.0,0,844.0989677,842.3988197,843.7193407,827.1607151,825.4946834,826.7887059,0.979933333,pc,0.0,0.0,8026.354167
97,2022-11-02 18:05:00,89.0,0,772.992,774.3895082,776.9239121,757.4806272,758.8500921,761.3336389,0.979933333,pc,0.0,0.0,7948.333333
98,2022-11-04 16:43:14,90.0,0,12.78464516,14.13702885,14.60311516,12.52809995,13.85334581,14.31007932,0.979933333,bc,1.0,1.0,7797.291667
99,2022-11-04 16:47:43,91.0,0,9.68300129,9.684507541,9.684886154,9.488695731,9.490171756,9.490542772,0.979933333,bc,1.0,1.0,7984.444444
100,2022-11-04 16:51:24,92.0,0,9.747429677,9.744786885,9.744776703,9.551831255,9.549241495,9.549231517,0.979933333,bc,0.0,0.0,8000.416667
101,2022-11-04 16:54:57,93.0,0,9.733749677,9.733910164,9.739214505,9.538425767,9.538583033,9.543780934,0.979933333,bc,0.0,0.0,7992.80303
102,2022-11-04 16:58:47,94.0,1,669.0065806,667.4211148,664.8230769,655.5818486,654.0281977,651.4822938,0.979933333,pc,0.0,1.0,8050.0
103,2022-11-04 17:02:21,95.0,1,685.539871,685.3296393,685.3707692,671.7833709,671.5773579,671.6176625,0.979933333,pc,0.0,1.0,7932.291667
104,2022-11-04 17:06:31,96.0,0,7.731209032,7.748091148,7.776079121,7.576069438,7.592612785,7.620039133,0.979933333,bc,1.0,1.0,7977.215909
